Name	Type	Category	Base Power	Accuracy	Priority	Description	Max PP	Makes Contact?	Level	Range	Natural Users	Flavor Text	Porting Status	Meta
Diamond Storm	Rock	Physical	100	19	0	Diamond Storm deals damage and has a 50% chance (a d20 rolls 11 or higher) of raising the user's Defense by two stages.	5	No	91	10m diameter circle within 20m	1	The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user’s Defense stat.	OK	Changed to AOE attack
Dig	Ground	Physical	80	20	0	The user of Dig will burrow its way underground on the first turn, disappearing from view and becoming invulnerable to most attacks. On their next turn, the attack lands, the user moves adjacent to their target, and the turn concludes. While underground, the Pokémon can only be hit by the moves Earthquake, Magnitude or Fissure, with Earthquake and Magnitude dealing twice normal damage. Moves from No Guard Pokémon, or any move following an identify move can also hit for regular power. The user also avoids end-of-turn damage from Sandstorm and Hail when underground. If the user is holding a Power Herb, Dig executes in one turn. Dig can be used non-offensively to move to otherwise inaccessible areas during battle, in which case there is no attack roll.		Yes	1	Single Pokémon within move range	36	The user burrows into the ground, then attacks on the next turn.	OK	Clarified how movement happens during Dig, and specifically I want to avoid being able to do hit-and-runs where you escape afterwards. Added out-of-battle use guidance.
Disable	Normal	Status			0	Disable causes the previous move the target used to be disabled and unable to be used for 1d4 of their turns. If the move is currently in progress (such as Rollout or Sky Drop), it is not canceled.	20	No	12	Single Pokémon within 10m	35	For four turns, this move prevents the target from using the move it last used.	OK	Changed disable length to 1d4 turns.
Disarming Voice	Fairy	Special	40	∞	0	Disarming Voice deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce, Dig, Dive, Fly, Shadow Force or Sky Drop.		No	1	Single Pokémon within 10m	31	Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.	OK	
Discharge	Electric	Special	80	20	0	Discharge deals damage and has a 30% chance (a d20 rolls 15 or higher) of paralyzing the target(s). Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed.	15	No	40	All Pokémon within 10m	51	The user strikes everything around it by letting loose a flare of electricity. This may also cause paralysis.	OK	Changed to indiscriminate AOE
Dive	Water	Physical	80	20	0	Only usable in water. The user of Dive will hide underwater on the first turn, disappearing from view and becoming invulnerable to most attacks. On the second turn, Dive deals damage. While underwater, the Pokémon can only be hit by the moves Surf, Whirlpool or Low Kick, with Surf and Whirlpool dealing twice normal damage. Moves from No Guard Pokémon, or any move following an identify move can also hit for regular power. The user also avoids end-of-turn damage from Sandstorm and Hail when underwater. If the user is holding a Power Herb, Dive executes in one turn.	10	Yes	24	Single Pokémon within move range	7	Diving on the first turn, the user floats up and attacks on the next turn.	OK	Treating this one like Fly basically
Dizzy Punch	Normal	Physical	70	20	0	Dizzy Punch deals damage and has a 20% chance (a d20 rolls 17 or higher) of confusing the target. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	10	Yes	25	Single adjacent Pokémon	8	The target is hit with rhythmically launched punches. This may also leave the target confused.	OK	
Doom Desire	Steel	Special	140	20	0	At the beginning of the user's 2nd turn after this move is selected, Doom Desire will deal damage. This Move may not be active more than once per user at a time.	5	No	98	Single Pokémon within view	1	Two turns after this move is used, a concentrated bundle of light blasts the target.	OK	Nerfed it a little by making it non-repeatable
Double Hit	Normal	Physical	35	18	0	Double Hit deals damage and will strike twice (with 35 base power each time). See the rules for "Multi-Hit Moves" for details.	10	Yes	15	One or two adjacent Pokémon	17	The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.	OK	
Double Iron Bash	Steel	Physical	60	20	0	Double Iron Bash deals damage, will strike twice (with 60 base power each time), and has a 30% chance (a d20 rolls 15 or higher) of causing the target(s) to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch. See the rules for "Multi-Hit Moves" for details.	5	Yes	88	One or two adjacent Pokémon	1	The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch.	OK	
Double Kick	Fighting	Physical	30	20	0	Double Kick deals damage and will strike twice (with 30 base power each time). See rules on "Multi-Hit Moves" for details.	30	Yes	18	One or two adjacent Pokémon	36	The target is quickly kicked twice in succession using both feet.	OK	
Double Slap	Normal	Physical	15	17	0	Double Slap hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	10	Yes	14	One or two adjacent Pokémon	35	The target is slapped repeatedly, back and forth, two to five times in a row.	OK	
Double Team	Normal	Status			0	Double Team raises the user's Evasiveness by one stage, thus making the user more difficult to hit.	15	No	1	Self	36	By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.	OK	
Double-Edge	Normal	Physical	120	20	0	Double-Edge deals damage, but the user receives 1/3 of the damage it inflicted (rounded down) in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP.	15	Yes	48	Single adjacent Pokémon	86	A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot.	OK	
Draco Meteor	Dragon	Special	130	18	0	Draco Meteor deals damage but lowers the user's Special Attack by two stages after attacking.	5	No	60	Single Pokémon within 20m	0	Comets are summoned down from the sky onto the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.	OK	
Dragon Ascent	Flying	Physical	120	20	0	Dragon Ascent deals damage but lowers the user's Defense and Special Defense by one stage each after attacking. It is the signature move of Rayquaza, and once learned allows Rayquaza to Mega-Evolve.	5	Yes	1	Single Pokémon within move range	1	After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process.	OK	
Dragon Breath	Dragon	Special	60	20	0	Dragon Breath deals damage and has a 30% chance (a d20 rolls 15 or higher) of paralyzing the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed.	20	No	8	Single Pokémon within 10m	43	The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.	OK	
Dragon Claw	Dragon	Physical	80	20	0	Dragon Claw deals damage with no additional effect.	15	Yes	33	Single adjacent Pokémon	26	The user slashes the target with huge sharp claws.	OK	
Dragon Dance	Dragon	Status			0	Dragon Dance raises the user's Attack and Speed by one stage each.	20	No	42	Self	21	The user vigorously performs a mystic, powerful dance that raises its Attack and Speed stats.	OK	
Dragon Darts	Dragon	Physical	50	20	0	Dragon Darts deals damage and hits twice. See the rules for "Multi-Hit Moves" for more details	10	No	1	One or two Pokémon within 10m	1	The user attacks twice using Dreepy. If there are two targets, this move hits each target once.	OK	
Dragon Energy	Dragon	Special	-	20	0	The base power of this Move is equal to the user's current HP	5	No	66	All enemy Pokémon within 10m	1	Converting its life-force into power, the user attacks opposing Pokémon. The lower the user’s HP, the lower the move’s power.	OK	Hoping that using the HP stat straight across won't be too overpowered.
Dragon Hammer	Dragon	Physical	90	20	0	The user uses its body like a hammer to attack the target and inflict damage.	15	Yes	1	Single adjacent Pokémon	1	The user uses its body like a hammer to attack the target and inflict damage.	OK	
Dragon Pulse	Dragon	Special	85	20	0	Dragon Pulse deals damage with no additional effect.	10	No	36	Single Pokémon within 10m	38	The target is attacked with a shock wave generated by the user’s gaping mouth.	OK	
Dragon Rage	Dragon	Special	100	20	0	Dragon Rage always deals 40 HP damage to the target, regardless of typing. It has no additional effect.	10	No	12	Single Pokémon within 10m	30	This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.	OK	
Dragon Rush	Dragon	Physical	100	15	0	Dragon Rush deals damage and has a 20% chance (a d20 rolls 17 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch. If the target has used Minimize, Dragon Rush ignores accuracy and deals double damage.	10	Yes	56	Single adjacent Pokémon	21	The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.	OK	
Dragon Tail	Dragon	Physical	60	18	0	On a successful hit, the user knocks their target back by up to 20m	10	Yes	15	Single adjacent Pokémon	17	The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.	OK	Reinterpreted "knocked away" to mean movement instead of switching
Drain Punch	Fighting	Physical	75	20	0	Drain Punch deals damage and the user will recover 50% of the HP drained.If used on a Pokémon with the ability Liquid Ooze, the user instead loses the HP it would have otherwise gained.	10	Yes	35	Single adjacent Pokémon	5	An energy-draining punch. The user’s HP is restored by half the damage taken by the target.	OK	
Draining Kiss	Fairy	Special	50	20	0	Draining Kiss deals damage and the user will recover 75% of the HP drained.	10	Yes	15	Single adjacent Pokémon	18	The user steals the target’s HP with a kiss. The user’s HP is restored by over half of the damage taken by the target.	OK	
Dream Eater	Psychic	Special	100	20	0	Dream Eater deals damage only on sleeping foes and the user will recover 50% of the HP drained. If used on a Pokémon with the ability Liquid Ooze, the user instead loses the HP it would have otherwise gained.	15	No	48	Single Pokémon within 10m	16	The user eats the dreams of a sleeping target. The user’s HP is restored by half the damage taken by the target.	OK	
Drill Peck	Flying	Physical	80	20	0	A corkscrewing attack that strikes the target with a sharp beak acting as a drill.	20	Yes	34	Single Pokémon within move range	8	A corkscrewing attack that strikes the target with a sharp beak acting as a drill.	OK	Changed range to equal movement distance
Drill Run	Ground	Physical	80	19	0	Drill Run deals damage and uses critical dice.	10	Yes	35	Single adjacent Pokémon	6	The user crashes into its target while rotating its body like a drill. Critical hits land more easily.	OK	
Drum Beating	Grass	Physical	80	20	0	Lowers opponent's Speed. (100% chance)	10	No	1	Single Pokémon within 10m	1	The user plays its drum, controlling the drum’s roots to attack the target. This also lowers the target’s Speed stat.	OK	
Dual Chop	Dragon	Physical	40	18	0	Dual Chop deals damage and will strike twice (with 40 base power each time). See the rules for "Multi-Hit Attacks" for details.	15	Yes	30	One or two adjacent Pokémon	10	The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.	OK	
Dual Wingbeat	Flying	Agility	40	18	0	The user slams the target with its wings. The Move will strike twice in a row. See the rules for "Multi-Hit Attacks" for details.	10	No		One or two adjacent Pokémon	0		OK	
Dynamic Punch	Fighting	Physical	100	10	0	Dynamic Punch deals damage and confuses the target, if it hits. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	5	Yes	40	Single adjacent Pokémon	14	The user punches the target with full, concentrated power. This confuses the target if it hits.	OK	May be a little OP
Earth Power	Ground	Special	90	20	0	Earth Power deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Special Defense by one stage.	10	No	40	Single Pokémon within 10m	32	The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.	OK	
Earthquake	Ground	Physical	100	20	0	Earthquake deals damage, and will hit with double power if the opponent is underground due to the move Dig.	10	No	44	All Pokémon within 10m	45	The user sets off an earthquake that strikes every Pokémon around it.	OK	
Echoed Voice	Normal	Special	40	20	0	Echoed Voice deals damage starting at base power 40, and increases by 40 on each turn it is used by any Pokémon on the field afterwards, up to a maximum base power of 200. The power resets if a full turn passes without the Move being used. Power does not reset if it misses, as long as the move is attempted each turn. The power does not increase immediately after each use (if multiple Pokémon use the Move), only at the beginning of the turn of the Pokémon who first used the Move.	15	No	1	Single Pokémon within 10m	18	The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.	OK?	Turn order is a bit wonky but I think I translated the intention across
Eerie Impulse	Electric	Status			0	Eerie Impulse lowers the target's Special Attack by two stages.	15	No	1	Single Pokémon within 10m	5	The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.	OK	
Eerie Spell	Psychic	Special	80	20	0	Eerie Spell deals damage and prevents the target from using their last-used move on their next turn.	5	No	1	Single Pokémon within 10m	1	The user attacks with its tremendous psychic power. This also removes 3 PP from the target’s last move.	OK	Changed PP loss to a Disable effect instead
Egg Bomb	Normal	Physical	100	15	0	Egg Bomb deals damage with no additional effect.	10	No	44	Single Pokémon within 10m	4	A large egg is hurled at the target with maximum force to inflict damage.	OK	
Electric Terrain	Electric	Status			0	Electric Terrain creates a low-lying electric field lasting 5 turns, which increases the power of Electric type moves by 50% while in effect. It also prevents grounded Pokémon from falling asleep. The . Grounded Pokémon are simply those that are not raised. Raised Pokémon are any Flying types or those under the effects of Levitate, Magnet Rise or Telekinesis. Electric Terrain is a terrain condition and can coexist at the same time as weather conditions, but not other terrain conditions.	10	No	50	All terrain in 50m radius	11	The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep.	OK	
Electrify	Electric	Status			4	Electrify causes the target's next Move to become Electric type. This move has priority over most other moves.	20	No	40	Single Pokémon within 10m	3	If the target is electrified before it uses a move during that turn, the target’s move becomes Electric type.	OK	Changed to make this a high-priority interrupt move
Electro Ball	Electric	Agility	100	20	0	Electro Ball is considered a Special attack and is defended against using Special Defense, but its power is calculated based on the attacker's Speed stat.	10	No	12	Single Pokémon within 10m	16	The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power.	OK?	replaced complex math with a Speed vs. Sp. Def baseline attack
Electroweb	Electric	Special	55	19	0	Electroweb deals damage and lowers each target's Speed by one stage.	15	No	6	All enemy Pokémon within 10m	3	The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stats.	OK	changed to AOE
Embargo	Dark	Status	100	20	0	Embargo prevents the target(s) using any items for five turns. 	15	No	33	All enemy Pokémon within view	23	This move prevents the target from using its held item for five turns.	OK	
Ember	Fire	Special	40	20	0	Ember deals damage and has a 10% chance (a d20 rolls 19 or 20) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned.	25	No	1	Single Pokémon within 10m	44	The target is attacked with small flames. This may also leave the target with a burn.	OK	
Encore	Normal	Status			0	Encore forces the target to use the previously selected move for 3 turns. Encore does not work against Encore itself, Mimic, Mirror Move, Sketch, Struggle or Transform.	5	No	5	Single Pokémon within 10m	23	The user compels the target to keep using the move it encored for three turns.	OK	
Endeavor	Normal	Physical	0	20	0	Endeavor reduces the target's HP to equal the user's. (It fails if the user's HP is higher than the target's.)	5	Yes	42	Single adjacent Pokémon	35	This attack move cuts down the target’s HP to equal the user’s HP.	Broken	No idea how I can balance this one because of the Focus Sash Rattata strat still being able to cheese boss fights.
Endure	Normal	Status			4	Endure allows the user to survive all attacks until the beginning of turn with at least 1 HP (even if it already has 1 HP remaining). It has priority +4 so will activate before most other moves. The accuracy of Endure decreases by one stage each time it is used consecutively after itself or Protect, Detect, Wide Guard, Quick Guard, Spiky Shield, King's Shield, or Baneful Bunker.	10	No	12	Self	30	The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.	OK	
Energy Ball	Grass	Special	90	20	0	Energy Ball deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Special Defense by one stage.	10	No	36	Single Pokémon within 10m	20	The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.	OK	
Entrainment	Normal	Status			0	Entrainment makes the target's ability the same as the user's. It does not work on Pokémon with the abilities Truant, Multitype or Zen Mode.	15	No	44	Single Pokémon within view	13	The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s.	OK	
Eruption	Fire	Special	150	20	0	Eruption's base power is equal to the user's current HP, to a maximum of 150.	5	No	90	All Pokémon within 10m	3	The user attacks opposing Pokémon with explosive fury. The lower the user’s HP, the lower the move’s power.	OK	Copying HP stat straight across to power. Also changed to indiscriminate AOE
Eternabeam	Dragon	Special	160	18	0	User can't move on the next turn.	5	No	88	1m x 20m line originating from the user	1	This is Eternatus’s most powerful attack in its original form. The user can’t move on the next turn.	OK	
Expanding Force	Psychic	Special	80	20	0	The user attacks a target with its psychic power. This move’s power increases to 120 and damages all opposing Pokémon on Psychic Terrain.	10	No	50	Single or Multiple Pokémon within view	0		OK	
Explosion	Normal	Physical	200	20	0	Explosion deals high damage, but causes the user to faint.	5	No	50	All Pokémon within 10m (ally or enemy)	31	The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.	OK	
Extrasensory	Psychic	Special	80	20	0	Extrasensory deals damage and has a 10% chance (a d20 rolls 19 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	20	No	35	Single Pokémon within view	31	The user attacks with an odd, unseeable power. This may also make the target flinch.	OK	
Extreme Speed	Normal	Agility	80	20	2	Extreme Speed deals damage and attacks before the majority of other moves (priority of +2).	5	Yes	1	Single adjacent Pokémon	9	The user charges the target at blinding speed. This move always goes first.	OK	
Facade	Normal	Physical	70	20	0	Facade deals damage, and hits with double power (140) if the user is burned, poisoned or paralyzed. In the case of a burn, the usual attack-halving still occurs.	20	Yes	16	Single adjacent Pokémon	2	This attack move doubles its power if the user is poisoned, burned, or paralyzed.	OK	
Fairy Lock	Fairy	Status			0	Fairy Lock prevents all Pokémon on the field from moving until the beginning of the user's next turn.	10	No	1	All Pokémon within 50m	1	By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.	OK	
Fairy Wind	Fairy	Special	40	20	0	Fairy Wind deals damage with no added effects.	30	No	1	Single Pokémon within 10m	16	The user stirs up a fairy wind and strikes the target with it.	OK	
Fake Out	Normal	Agility	40	20	3	Fake Out attacks with a priority of +3 and causes the target to flinch if it hits. It is only successful on the first turn the Pokémon is in battle. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	10	Yes	1	Single adjacent Pokémon	27	This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.	OK	
Fake Tears	Dark	Status			0	Fake Tears lowers the target's Special Defense by two stages.	20	No	15	Single Pokémon within view	16	The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.	OK	
False Surrender	Dark	Physical	80	∞	0	Ignores Accuracy and Evasiveness.	10	Yes	1	Single adjacent Pokémon	2	The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.	OK	
False Swipe	Normal	Physical	40	20	0	Always leaves opponent with at least 1 HP.	40	Yes	6	Single adjacent Pokémon	19	A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.	OK	
Feather Dance	Flying	Status			0	Feather Dance lowers the target's Attack by two stages.	15	No	26	Single Pokémon within view	11	The user covers the target’s body with a mass of down that harshly lowers its Attack stat.	OK	
Feint	Normal	Physical	30	20	2	Feint only hits if the target used Protect or Detect in the same turn. It also cancels Protect/Detect for the remainder of the turn, so subsequent moves in the same turn (in double/triple battles) can still hit.	10	No	1	Single adjacent Pokémon	25	This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.	OK	
Feint Attack	Dark	Physical	60	∞	0	Feint Attack deals damage and ignores changes to the Accuracy and Evasion stats. However, it will not hit Pokémon during the invulnerable stage of Bounce, Dig, Dive, Fly, Shadow Force or Sky Drop.	20	Yes	19	Single adjacent Pokémon	74	The user approaches the target disarmingly, then throws a sucker punch. This attack never misses.	OK	
Fell Stinger	Bug	Physical	50	20	0	Fell Stinger deals damage, and if the target is knocked out by this move, the user's Attack is raised by three stages.	25	Yes	12	Single adjacent Pokémon	10	When the user knocks out a target with this move, the user’s Attack stat rises drastically.	OK	
Fiery Dance	Fire	Special	80	20	0	Fiery Dance deals damage and has a 50% chance (a d20 rolls 11 or higher) of raising the user's Special Attack by one stage.	10	No	1	Single Pokémon within 10m	1	Cloaked in flames, the user attacks the target by dancing and flapping its wings. This may also raise the user’s Sp. Atk stat.	OK	
Fiery Wrath	Dark	Special	90	20	0	20% chance (a d20 rolls 17 or higher) of causing the target(s) to flinch.	10	No	45	All enemy Pokémon within 10m	1	The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.	OK	
Final Gambit	Fighting	Special	-	20	0	Inflicts damage equal to the user's remaining HP. User faints.	5	No	48	Single adjacent Pokémon	8	The user risks everything to attack its target. The user faints but does damage equal to its HP.	OK	
Fire Blast	Fire	Special	110	17	0	Fire Blast deals damage and has a 10% chance (a d20 rolls 19 or higher) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned.	5	No	58	Single Pokémon within 10m	13	The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.	OK	
Fire Fang	Fire	Physical	65	19	0	Fire Fang deals damage, has a 10% chance (a d20 rolls 19 or higher) of burning the target and has a 10% chance of causing the target to flinch. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	15	Yes	17	Single adjacent Pokémon	22	The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.	OK	
Fire Lash	Fire	Physical	80	20	0	The user strikes the target with a burning lash. This also lowers the target's Defense stat. (100% chance)	15	Yes	53	Single adjacent Pokémon	4	The user strikes the target with a burning lash. This also lowers the target’s Defense stat.	OK	
Fire Pledge	Fire	Special	80	20	-1	Fire Pledge deals damage at base power 80. If a teammate uses Grass Pledge or Water Pledge in the same turn, the moves combine into one attack of base power 160 and added effects appear. The faster Pokémon moves first but waits for the other Pokémon to make their move. When the slower Pledge user moves, the combo attack hits the Pokémon the slower user was targeting. If Fire Pledge is used with Grass Pledge, the move animation shows Fire Pledge and a sea of fire envelops the foe's team is created that damages opponents 1⁄8 of their maximum HP each turn, for 4 turns. If Fire Pledge is used with Water Pledge, the move animation shows Water Pledge and a rainbow appears in the sky on your team's side that doubles the chance of moves' secondary effects occurring for 4 turns.	10	No	40	Single adjacent Pokémon	0	A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears.	Broken	
Fire Punch	Fire	Physical	75	20	0	Fire Punch deals damage and has a 10% chance (a d20 rolls 19 or higher) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned.	15	Yes	24	Single adjacent Pokémon	11	The target is punched with a fiery fist. This may also leave the target with a burn.	OK	
Fire Spin	Fire	Special	40	17	0	Fire Spin inflicts damage immediately and then traps the opponent. See rules on "Trap Moves" for details.	15	No	32	Single Pokémon within 10m	19	The target becomes trapped within a fierce vortex of fire that rages for four to five turns.	OK	
First Impression	Bug	Physical	90	20	2	Although this move has great power, it only works the first turn the user is in battle.	10	Yes	35	Single adjacent Pokémon	3	Although this move has great power, it only works the first turn each time the user enters battle.	OK	
Fishious Rend	Water	Physical	85	20	0	If the target did not deal damage in their previous turn, the power of this move is doubled.	10	Yes	63	Single adjacent Pokémon	2	The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled.	OK?	copied from Bolt Beak. May need rebalancing
Fissure	Ground	Physical	160	6	0	Fissure has high power but its accuracy is very low. This Move may not be used more than once in succession.	5	No	48	Single adjacent Pokémon	18	The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.	OK?	OHKO
Flail	Normal	Agility	-	20	0	Flail's base power is equal to 110 minus the user's current HP. In other words, the lower the user's HP, the higher the power.	15	Yes	20	Single adjacent Pokémon	61	The user flails about aimlessly to attack. The less HP the user has, the greater the move’s power.	OK?	The original move can theoretically go to 200 (?) power but I think 110 is more balanced for a level 20 attack
Flame Burst	Fire	Special	70	20	0	Flame Burst deals damage and will also cause splash damage to any Pokémon adjacent to the target (including the user if Flame Burst is targeted at an ally).	15	No	24	5m diameter circle within 10m	23	The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.	OK	AOE rules changed this quite a bit. The original move couldn't be Protected against and didn't trigger side effects, whereas now it can.
Flame Charge	Fire	Physical	50	20	0	Flame Charge deals damage and raises the user's Speed by one stage.	20	Yes	9	Single adjacent Pokémon	17	Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat.	OK	
Flame Wheel	Fire	Physical	60	20	0	Flame Wheel deals damage and has a 10% chance (a d20 rolls 19 or higher) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. If the user is frozen, Flame Wheel can be used and will thaw out the Pokémon before attacking.	25	Yes	16	Single adjacent Pokémon	14	The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.	OK	
Flamethrower	Fire	Special	90	20	0	Flamethrower deals damage and has a 10% chance (a d20 rolls 19 or 20) of burning the target. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned.	15	No	40	Single Pokémon within 10m	26	The target is scorched with an intense blast of fire. This may also leave the target with a burn.	OK	
Flare Blitz	Fire	Physical	120	20	0	Flare Blitz deals damage and has a 10% chance (a d20 rolls 19 or above) of burning the target, but the user receives one-third of the damage it inflicted in recoil. In other words, if the attack does 90 HP damage to the opponent, the user will lose 30 HP. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. If the user is frozen, Flare Blitz can be used and will thaw out the Pokémon before attacking.	15	Yes	55	Single adjacent Pokémon	25	The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.	OK	another 1/3 calculation required
Flash	Normal	Status			0	Flash lowers the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	20	No	8	All enemy Pokémon within 20m	4	The user flashes a bright light that cuts the target’s accuracy.	OK	changed to AOE to make this a little more viable
Flash Cannon	Steel	Special	80	20	0	Flash Cannon deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Special Defense by one stage.	10	No	32	Single Pokémon within 10m	17	The user gathers all its light energy and releases it all at once. This may also lower the target’s Sp. Def stat.	OK	
Flatter	Dark	Status	100	20	0	Confuses opponent, but raises their Special Attack by two stages.	15	No	25	Single Pokémon within 10m	21	Flattery is used to confuse the target. However, this also raises the target’s Sp. Atk stat.	OK	
Fleur Cannon	Fairy	Special	130	18	0	Fleur Cannon deals damage but lowers the user's Special Attack by two stages after attacking.	5	No	90	A 1m x 20m line originating from the user	1	The user unleashes a strong beam. The attack’s recoil harshly lowers the user’s Sp. Atk stat.	OK	
Fling	Dark	Agility	100	20	0	Power depends on held item.	10	No	20	Single adjacent Pokémon	12	The user flings its held item at the target to attack. This move’s power and effects depend on the item.	Broken	
Flip Turn	Water	Agility	60	20	0	After making its attack, the user swaps places with an ally Pokémon within movement range	20	Yes	30	Single adjacent Pokémon	0		OK	Reinterpreted the swap out mechanic to be more like Ally Swap. Seems more interesting than just granting bonus movement
Floral Healing	Fairy	Status			0	The user restores the target's HP by up to half of its max HP. It restores 75% max HP when Grassy Terrain is active. The accuracy of Floral Healing lowers by 1 stage after each time it is used per battle, and cannot be undone by effects which would otherwise restore accuracy.	10	No	30	Single Ally Pokémon within 10m	1	The user restores the target’s HP by up to half of its max HP. It restores more HP when the terrain is grass.	OK	
Flower Shield	Fairy	Status			0	Flower Shield raises the Defense of all Grass-type Pokémon in battle (including opponents) by one stage.	10	No	12	All Pokémon within 50m	2	The user raises the Defense stats of all Grass-type Pokémon in battle with a mysterious power.	OK	
Fly	Flying	Physical	90	19	0	The user of Fly will fly up high on the first turn, disappearing from view and becoming invulnerable to most attacks. On their next turn, the attack lands, the user moves adjacent to their target, and the turn concludes. While in the air, the Pokémon can only be hit by the moves Gust, Twister, Thunder, Sky Uppercut and Smack Down, with Gust and Twister dealing twice normal damage. Moves from No Guard Pokémon, or any move following an identify move can also hit for regular power. If the user is holding a Power Herb, Fly executes in one turn. Fly can be used non-offensively to move to otherwise inaccessible areas during battle, in which case there is no attack roll.		Yes	1	Single Pokémon within move range	8	The user flies up into the sky and then strikes its target on the next turn.	OK	Clarified how movement happens during Fly, and specifically I want to avoid being able to do hit-and-runs where you escape afterwards. Added out-of-battle use guidance.
Flying Press	Fighting	Physical	100	19	0	Flying Press deals damage and its type is either Fighting or Flying, whichever one would deal more damage.	10	Yes	44	Single adjacent Pokémon	1	The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.	OK	Complicated stat logic for a Hawlucha-exclusive move
Focus Blast	Fighting	Special	120	14	0	Focus Blast deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Special Defense by one stage.	5	No	75	Single Pokémon within 10m	1	The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.	OK	
Focus Energy	Normal	Status			0	All of the user's Moves which do not already use critical dice will use them for the next 3 turns	30	No	8	Self	53	The user takes a deep breath and focuses so that critical hits land more easily.	OK	Reinterpreted increased crit chance
